69,1BM13IS068,"2015-04-28 09:48:14.595854",5,4,5,5,5,5,5
70,1BM13IS060,"2015-04-28 09:50:28.740603",5,4,5,5,3,4,1
71,1BM14IS410,"2015-04-28 09:54:34.167801",5,4,4,4,3,4,4
72,1BM13IS074,"2015-04-28 10:17:58.226322",4,4,5,5,5,5,5
73,1BM14IS406,"2015-04-28 10:19:53.653082",5,5,5,5,5,5,5
74,1BM14IS409,"2015-04-28 10:22:46.418123",3,3,3,3,3,3,3
75,1BM13IS071,"2015-04-28 10:24:22.206153",4,3,4,3,4,4,4
76,1BM13IS070,"2015-04-28 10:24:48.716638",4,4,4,4,4,4,4
77,1BM13IS075,"2015-04-28 10:27:39.179233",4,3,5,4,4,5,5
78,1BM13IS061,"2015-04-28 10:29:59.580746",4,4,4,5,4,4,5
79,1BM13IS081,"2015-04-29 04:36:54.594068",4,4,3,4,4,4,4
80,1BM13IS087,"2015-04-29 04:38:15.718458",5,5,5,5,5,4,4
81,1BM13IS086,"2015-04-29 04:44:27.464923",5,5,5,5,5,5,5
82,1BM13IS082,"2015-04-29 04:49:02.285904",3,3,5,5,3,5,5
83,1BM13IS059,"2015-04-29 04:50:18.268043",5,3,5,5,5,4,3
84,1BM13IS079,"2015-04-29 04:51:05.586362",5,3,5,5,5,5,4
85,1BM13IS084,"2015-04-29 04:56:28.125911",5,5,5,5,5,5,5
86,1BM13IS085,"2015-04-29 04:56:37.875622",5,5,5,5,5,5,5
87,1BM13IS088,"2015-04-29 04:58:49.257084",4,4,5,5,5,5,5
88,1BM13IS056,"2015-04-29 04:59:50.405296",5,5,5,5,5,5,5
89,1BM13IS076,"2015-04-29 04:59:56.657921",5,5,5,5,5,5,5
90,1BM13IS090,"2015-04-29 05:10:46.772945",3,4,4,4,4,4,4
91,1BM13IS077,"2015-04-29 05:21:17.582130",3,4,3,3,3,3,4
92,1BM13IS069,"2015-04-29 07:16:16.814879",4,4,4,4,4,4,4
93,1BM13IS103,"2015-04-29 07:18:41.093126",4,4,4,4,3,4,3
94,1BM14IS411,"2015-04-29 09:32:31.972159",5,5,5,5,5,5,5
95,1BM14IS404,"2015-04-29 09:37:05.809180",5,5,5,5,5,5,5
96,1BM14IS403,"2015-04-29 09:43:01.478322",5,5,5,5,5,5,5
